,Month,Neighbourhood Name,Neighbourhood Number,No Longer In Use,Occupied,Quarter,Unoccupied,Year,﻿Ward
0,1,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,2011,Ward 1
0,2,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,2011,Ward 1
0,3,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,2011,Ward 1
0,4,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,2011,Ward 1
0,5,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,2011,Ward 1
0,6,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,2011,Ward 1
0,7,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,2011,Ward 1
0,8,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,2011,Ward 1
0,9,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,2011,Ward 1
0,10,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,2011,Ward 1
0,11,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,2011,Ward 1
0,12,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,2011,Ward 1
1,1,ALDERGROVE,4020,32,1946,1,39,2011,Ward 1
1,2,ALDERGROVE,4020,32,1946,1,39,2011,Ward 1
1,3,ALDERGROVE,4020,32,1946,1,39,2011,Ward 1
1,4,ALDERGROVE,4020,32,1946,2,39,2011,Ward 1
1,5,ALDERGROVE,4020,32,1946,2,39,2011,Ward 1
1,6,ALDERGROVE,4020,32,1946,2,39,2011,Ward 1
1,7,ALDERGROVE,4020,32,1946,3,39,2011,Ward 1
1,8,ALDERGROVE,4020,32,1946,3,39,2011,Ward 1
1,9,ALDERGROVE,4020,32,1946,3,39,2011,Ward 1
1,10,ALDERGROVE,4020,32,1946,4,39,2011,Ward 1
1,11,ALDERGROVE,4020,32,1946,4,39,2011,Ward 1
1,12,ALDERGROVE,4020,32,1946,4,39,2011,Ward 1
2,1,ANTHONY HENDAY,4011,0,0,1,0,2011,Ward 1
2,2,ANTHONY HENDAY,4011,0,0,1,0,2011,Ward 1
2,3,ANTHONY HENDAY,4011,0,0,1,0,2011,Ward 1
2,4,ANTHONY HENDAY,4011,0,0,2,0,2011,Ward 1
2,5,ANTHONY HENDAY,4011,0,0,2,0,2011,Ward 1
2,6,ANTHONY HENDAY,4011,0,0,2,0,2011,Ward 1
2,7,ANTHONY HENDAY,4011,0,0,3,0,2011,Ward 1
2,8,ANTHONY HENDAY,4011,0,0,3,0,2011,Ward 1
2,9,ANTHONY HENDAY,4011,0,0,3,0,2011,Ward 1
2,10,ANTHONY HENDAY,4011,0,0,4,0,2011,Ward 1
2,11,ANTHONY HENDAY,4011,0,0,4,0,2011,Ward 1
2,12,ANTHONY HENDAY,4011,0,0,4,0,2011,Ward 1
3,1,ARMSTRONG INDUSTRIAL,4030,13,1,1,1,2011,Ward 1
3,2,ARMSTRONG INDUSTRIAL,4030,13,1,1,1,2011,Ward 1
3,3,ARMSTRONG INDUSTRIAL,4030,13,1,1,1,2011,Ward 1
3,4,ARMSTRONG INDUSTRIAL,4030,13,1,2,1,2011,Ward 1
3,5,ARMSTRONG INDUSTRIAL,4030,13,1,2,1,2011,Ward 1
3,6,ARMSTRONG INDUSTRIAL,4030,13,1,2,1,2011,Ward 1
3,7,ARMSTRONG INDUSTRIAL,4030,13,1,3,1,2011,Ward 1
3,8,ARMSTRONG INDUSTRIAL,4030,13,1,3,1,2011,Ward 1
3,9,ARMSTRONG INDUSTRIAL,4030,13,1,3,1,2011,Ward 1
3,10,ARMSTRONG INDUSTRIAL,4030,13,1,4,1,2011,Ward 1
3,11,ARMSTRONG INDUSTRIAL,4030,13,1,4,1,2011,Ward 1
3,12,ARMSTRONG INDUSTRIAL,4030,13,1,4,1,2011,Ward 1
4,1,BELMEAD,4040,21,1657,1,24,2011,Ward 1
4,2,BELMEAD,4040,21,1657,1,24,2011,Ward 1
4,3,BELMEAD,4040,21,1657,1,24,2011,Ward 1
4,4,BELMEAD,4040,21,1657,2,24,2011,Ward 1
4,5,BELMEAD,4040,21,1657,2,24,2011,Ward 1
4,6,BELMEAD,4040,21,1657,2,24,2011,Ward 1
4,7,BELMEAD,4040,21,1657,3,24,2011,Ward 1
4,8,BELMEAD,4040,21,1657,3,24,2011,Ward 1
4,9,BELMEAD,4040,21,1657,3,24,2011,Ward 1
4,10,BELMEAD,4040,21,1657,4,24,2011,Ward 1
4,11,BELMEAD,4040,21,1657,4,24,2011,Ward 1
4,12,BELMEAD,4040,21,1657,4,24,2011,Ward 1
5,1,BRECKENRIDGE GREENS,4700,5,757,1,11,2011,Ward 1
5,2,BRECKENRIDGE GREENS,4700,5,757,1,11,2011,Ward 1
5,3,BRECKENRIDGE GREENS,4700,5,757,1,11,2011,Ward 1
5,4,BRECKENRIDGE GREENS,4700,5,757,2,11,2011,Ward 1
5,5,BRECKENRIDGE GREENS,4700,5,757,2,11,2011,Ward 1
5,6,BRECKENRIDGE GREENS,4700,5,757,2,11,2011,Ward 1
5,7,BRECKENRIDGE GREENS,4700,5,757,3,11,2011,Ward 1
5,8,BRECKENRIDGE GREENS,4700,5,757,3,11,2011,Ward 1
5,9,BRECKENRIDGE GREENS,4700,5,757,3,11,2011,Ward 1
5,10,BRECKENRIDGE GREENS,4700,5,757,4,11,2011,Ward 1
5,11,BRECKENRIDGE GREENS,4700,5,757,4,11,2011,Ward 1
5,12,BRECKENRIDGE GREENS,4700,5,757,4,11,2011,Ward 1
6,1,BRITANNIA YOUNGSTOWN,4060,71,2254,1,73,2011,Ward 1
6,2,BRITANNIA YOUNGSTOWN,4060,71,2254,1,73,2011,Ward 1
6,3,BRITANNIA YOUNGSTOWN,4060,71,2254,1,73,2011,Ward 1
6,4,BRITANNIA YOUNGSTOWN,4060,71,2254,2,73,2011,Ward 1
6,5,BRITANNIA YOUNGSTOWN,4060,71,2254,2,73,2011,Ward 1
6,6,BRITANNIA YOUNGSTOWN,4060,71,2254,2,73,2011,Ward 1
6,7,BRITANNIA YOUNGSTOWN,4060,71,2254,3,73,2011,Ward 1
6,8,BRITANNIA YOUNGSTOWN,4060,71,2254,3,73,2011,Ward 1
6,9,BRITANNIA YOUNGSTOWN,4060,71,2254,3,73,2011,Ward 1
6,10,BRITANNIA YOUNGSTOWN,4060,71,2254,4,73,2011,Ward 1
6,11,BRITANNIA YOUNGSTOWN,4060,71,2254,4,73,2011,Ward 1
6,12,BRITANNIA YOUNGSTOWN,4060,71,2254,4,73,2011,Ward 1
7,1,CANORA,4090,87,1620,1,121,2011,Ward 1
7,2,CANORA,4090,87,1620,1,121,2011,Ward 1
7,3,CANORA,4090,87,1620,1,121,2011,Ward 1
7,4,CANORA,4090,87,1620,2,121,2011,Ward 1
7,5,CANORA,4090,87,1620,2,121,2011,Ward 1
7,6,CANORA,4090,87,1620,2,121,2011,Ward 1
7,7,CANORA,4090,87,1620,3,121,2011,Ward 1
7,8,CANORA,4090,87,1620,3,121,2011,Ward 1
7,9,CANORA,4090,87,1620,3,121,2011,Ward 1
7,10,CANORA,4090,87,1620,4,121,2011,Ward 1
7,11,CANORA,4090,87,1620,4,121,2011,Ward 1
7,12,CANORA,4090,87,1620,4,121,2011,Ward 1
8,1,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,2011,Ward 1
8,2,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,2011,Ward 1
8,3,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,2011,Ward 1
8,4,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,2011,Ward 1
8,5,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,2011,Ward 1
8,6,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,2011,Ward 1
8,7,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,2011,Ward 1
8,8,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,2011,Ward 1
8,9,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,2011,Ward 1
8,10,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,2011,Ward 1
8,11,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,2011,Ward 1
8,12,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,2011,Ward 1
9,1,CRESTWOOD,3140,6,924,1,28,2011,Ward 1
9,2,CRESTWOOD,3140,6,924,1,28,2011,Ward 1
9,3,CRESTWOOD,3140,6,924,1,28,2011,Ward 1
9,4,CRESTWOOD,3140,6,924,2,28,2011,Ward 1
9,5,CRESTWOOD,3140,6,924,2,28,2011,Ward 1
9,6,CRESTWOOD,3140,6,924,2,28,2011,Ward 1
9,7,CRESTWOOD,3140,6,924,3,28,2011,Ward 1
9,8,CRESTWOOD,3140,6,924,3,28,2011,Ward 1
9,9,CRESTWOOD,3140,6,924,3,28,2011,Ward 1
9,10,CRESTWOOD,3140,6,924,4,28,2011,Ward 1
9,11,CRESTWOOD,3140,6,924,4,28,2011,Ward 1
9,12,CRESTWOOD,3140,6,924,4,28,2011,Ward 1
10,1,EDMISTON INDUSTRIAL,4130,0,0,1,0,2011,Ward 1
10,2,EDMISTON INDUSTRIAL,4130,0,0,1,0,2011,Ward 1
10,3,EDMISTON INDUSTRIAL,4130,0,0,1,0,2011,Ward 1
10,4,EDMISTON INDUSTRIAL,4130,0,0,2,0,2011,Ward 1
10,5,EDMISTON INDUSTRIAL,4130,0,0,2,0,2011,Ward 1
10,6,EDMISTON INDUSTRIAL,4130,0,0,2,0,2011,Ward 1
10,7,EDMISTON INDUSTRIAL,4130,0,0,3,0,2011,Ward 1
10,8,EDMISTON INDUSTRIAL,4130,0,0,3,0,2011,Ward 1
10,9,EDMISTON INDUSTRIAL,4130,0,0,3,0,2011,Ward 1
10,10,EDMISTON INDUSTRIAL,4130,0,0,4,0,2011,Ward 1
10,11,EDMISTON INDUSTRIAL,4130,0,0,4,0,2011,Ward 1
10,12,EDMISTON INDUSTRIAL,4130,0,0,4,0,2011,Ward 1
11,1,GLENWOOD,4180,38,2233,1,167,2011,Ward 1
11,2,GLENWOOD,4180,38,2233,1,167,2011,Ward 1
11,3,GLENWOOD,4180,38,2233,1,167,2011,Ward 1
11,4,GLENWOOD,4180,38,2233,2,167,2011,Ward 1
11,5,GLENWOOD,4180,38,2233,2,167,2011,Ward 1
11,6,GLENWOOD,4180,38,2233,2,167,2011,Ward 1
11,7,GLENWOOD,4180,38,2233,3,167,2011,Ward 1
11,8,GLENWOOD,4180,38,2233,3,167,2011,Ward 1
11,9,GLENWOOD,4180,38,2233,3,167,2011,Ward 1
11,10,GLENWOOD,4180,38,2233,4,167,2011,Ward 1
11,11,GLENWOOD,4180,38,2233,4,167,2011,Ward 1
11,12,GLENWOOD,4180,38,2233,4,167,2011,Ward 1
12,1,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,2011,Ward 1
12,2,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,2011,Ward 1
12,3,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,2011,Ward 1
12,4,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,2011,Ward 1
12,5,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,2011,Ward 1
12,6,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,2011,Ward 1
12,7,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,2011,Ward 1
12,8,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,2011,Ward 1
12,9,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,2011,Ward 1
12,10,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,2011,Ward 1
12,11,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,2011,Ward 1
12,12,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,2011,Ward 1
13,1,HAWKS RIDGE,4473,0,0,1,0,2011,Ward 1
13,2,HAWKS RIDGE,4473,0,0,1,0,2011,Ward 1
13,3,HAWKS RIDGE,4473,0,0,1,0,2011,Ward 1
13,4,HAWKS RIDGE,4473,0,0,2,0,2011,Ward 1
13,5,HAWKS RIDGE,4473,0,0,2,0,2011,Ward 1
13,6,HAWKS RIDGE,4473,0,0,2,0,2011,Ward 1
13,7,HAWKS RIDGE,4473,0,0,3,0,2011,Ward 1
13,8,HAWKS RIDGE,4473,0,0,3,0,2011,Ward 1
13,9,HAWKS RIDGE,4473,0,0,3,0,2011,Ward 1
13,10,HAWKS RIDGE,4473,0,0,4,0,2011,Ward 1
13,11,HAWKS RIDGE,4473,0,0,4,0,2011,Ward 1
13,12,HAWKS RIDGE,4473,0,0,4,0,2011,Ward 1
14,1,HIGH PARK,4200,9,600,1,40,2011,Ward 1
14,2,HIGH PARK,4200,9,600,1,40,2011,Ward 1
14,3,HIGH PARK,4200,9,600,1,40,2011,Ward 1
14,4,HIGH PARK,4200,9,600,2,40,2011,Ward 1
14,5,HIGH PARK,4200,9,600,2,40,2011,Ward 1
14,6,HIGH PARK,4200,9,600,2,40,2011,Ward 1
14,7,HIGH PARK,4200,9,600,3,40,2011,Ward 1
14,8,HIGH PARK,4200,9,600,3,40,2011,Ward 1
14,9,HIGH PARK,4200,9,600,3,40,2011,Ward 1
14,10,HIGH PARK,4200,9,600,4,40,2011,Ward 1
14,11,HIGH PARK,4200,9,600,4,40,2011,Ward 1
14,12,HIGH PARK,4200,9,600,4,40,2011,Ward 1
15,1,JASPER PARK,4230,40,885,1,51,2011,Ward 1
15,2,JASPER PARK,4230,40,885,1,51,2011,Ward 1
15,3,JASPER PARK,4230,40,885,1,51,2011,Ward 1
15,4,JASPER PARK,4230,40,885,2,51,2011,Ward 1
15,5,JASPER PARK,4230,40,885,2,51,2011,Ward 1
15,6,JASPER PARK,4230,40,885,2,51,2011,Ward 1
15,7,JASPER PARK,4230,40,885,3,51,2011,Ward 1
15,8,JASPER PARK,4230,40,885,3,51,2011,Ward 1
15,9,JASPER PARK,4230,40,885,3,51,2011,Ward 1
15,10,JASPER PARK,4230,40,885,4,51,2011,Ward 1
15,11,JASPER PARK,4230,40,885,4,51,2011,Ward 1
15,12,JASPER PARK,4230,40,885,4,51,2011,Ward 1
16,1,KINOKAMAU PLAINS AREA,4475,10,42,1,2,2011,Ward 1
16,2,KINOKAMAU PLAINS AREA,4475,10,42,1,2,2011,Ward 1
16,3,KINOKAMAU PLAINS AREA,4475,10,42,1,2,2011,Ward 1
16,4,KINOKAMAU PLAINS AREA,4475,10,42,2,2,2011,Ward 1
16,5,KINOKAMAU PLAINS AREA,4475,10,42,2,2,2011,Ward 1
16,6,KINOKAMAU PLAINS AREA,4475,10,42,2,2,2011,Ward 1
16,7,KINOKAMAU PLAINS AREA,4475,10,42,3,2,2011,Ward 1
16,8,KINOKAMAU PLAINS AREA,4475,10,42,3,2,2011,Ward 1
16,9,KINOKAMAU PLAINS AREA,4475,10,42,3,2,2011,Ward 1
16,10,KINOKAMAU PLAINS AREA,4475,10,42,4,2,2011,Ward 1
16,11,KINOKAMAU PLAINS AREA,4475,10,42,4,2,2011,Ward 1
16,12,KINOKAMAU PLAINS AREA,4475,10,42,4,2,2011,Ward 1
17,1,LA PERLE,4240,17,1962,1,49,2011,Ward 1
17,2,LA PERLE,4240,17,1962,1,49,2011,Ward 1
17,3,LA PERLE,4240,17,1962,1,49,2011,Ward 1
17,4,LA PERLE,4240,17,1962,2,49,2011,Ward 1
17,5,LA PERLE,4240,17,1962,2,49,2011,Ward 1
17,6,LA PERLE,4240,17,1962,2,49,2011,Ward 1
17,7,LA PERLE,4240,17,1962,3,49,2011,Ward 1
17,8,LA PERLE,4240,17,1962,3,49,2011,Ward 1
17,9,LA PERLE,4240,17,1962,3,49,2011,Ward 1
17,10,LA PERLE,4240,17,1962,4,49,2011,Ward 1
17,11,LA PERLE,4240,17,1962,4,49,2011,Ward 1
17,12,LA PERLE,4240,17,1962,4,49,2011,Ward 1
18,1,LEWIS FARMS INDUSTRIAL,4485,4,31,1,2,2011,Ward 1
18,2,LEWIS FARMS INDUSTRIAL,4485,4,31,1,2,2011,Ward 1
18,3,LEWIS FARMS INDUSTRIAL,4485,4,31,1,2,2011,Ward 1
18,4,LEWIS FARMS INDUSTRIAL,4485,4,31,2,2,2011,Ward 1
18,5,LEWIS FARMS INDUSTRIAL,4485,4,31,2,2,2011,Ward 1
18,6,LEWIS FARMS INDUSTRIAL,4485,4,31,2,2,2011,Ward 1
18,7,LEWIS FARMS INDUSTRIAL,4485,4,31,3,2,2011,Ward 1
18,8,LEWIS FARMS INDUSTRIAL,4485,4,31,3,2,2011,Ward 1
18,9,LEWIS FARMS INDUSTRIAL,4485,4,31,3,2,2011,Ward 1
18,10,LEWIS FARMS INDUSTRIAL,4485,4,31,4,2,2011,Ward 1
18,11,LEWIS FARMS INDUSTRIAL,4485,4,31,4,2,2011,Ward 1
18,12,LEWIS FARMS INDUSTRIAL,4485,4,31,4,2,2011,Ward 1
19,1,MAYFIELD,4290,22,860,1,28,2011,Ward 1
19,2,MAYFIELD,4290,22,860,1,28,2011,Ward 1
19,3,MAYFIELD,4290,22,860,1,28,2011,Ward 1
19,4,MAYFIELD,4290,22,860,2,28,2011,Ward 1
19,5,MAYFIELD,4290,22,860,2,28,2011,Ward 1
19,6,MAYFIELD,4290,22,860,2,28,2011,Ward 1
19,7,MAYFIELD,4290,22,860,3,28,2011,Ward 1
19,8,MAYFIELD,4290,22,860,3,28,2011,Ward 1
19,9,MAYFIELD,4290,22,860,3,28,2011,Ward 1
19,10,MAYFIELD,4290,22,860,4,28,2011,Ward 1
19,11,MAYFIELD,4290,22,860,4,28,2011,Ward 1
19,12,MAYFIELD,4290,22,860,4,28,2011,Ward 1
20,1,MCNAMARA INDUSTRIAL,4300,0,0,1,0,2011,Ward 1
20,2,MCNAMARA INDUSTRIAL,4300,0,0,1,0,2011,Ward 1
20,3,MCNAMARA INDUSTRIAL,4300,0,0,1,0,2011,Ward 1
20,4,MCNAMARA INDUSTRIAL,4300,0,0,2,0,2011,Ward 1
20,5,MCNAMARA INDUSTRIAL,4300,0,0,2,0,2011,Ward 1
20,6,MCNAMARA INDUSTRIAL,4300,0,0,2,0,2011,Ward 1
20,7,MCNAMARA INDUSTRIAL,4300,0,0,3,0,2011,Ward 1
20,8,MCNAMARA INDUSTRIAL,4300,0,0,3,0,2011,Ward 1
20,9,MCNAMARA INDUSTRIAL,4300,0,0,3,0,2011,Ward 1
20,10,MCNAMARA INDUSTRIAL,4300,0,0,4,0,2011,Ward 1
20,11,MCNAMARA INDUSTRIAL,4300,0,0,4,0,2011,Ward 1
20,12,MCNAMARA INDUSTRIAL,4300,0,0,4,0,2011,Ward 1
21,1,MEADOWLARK PARK,4310,11,1167,1,34,2011,Ward 1
21,2,MEADOWLARK PARK,4310,11,1167,1,34,2011,Ward 1
21,3,MEADOWLARK PARK,4310,11,1167,1,34,2011,Ward 1
21,4,MEADOWLARK PARK,4310,11,1167,2,34,2011,Ward 1
21,5,MEADOWLARK PARK,4310,11,1167,2,34,2011,Ward 1
21,6,MEADOWLARK PARK,4310,11,1167,2,34,2011,Ward 1
21,7,MEADOWLARK PARK,4310,11,1167,3,34,2011,Ward 1
21,8,MEADOWLARK PARK,4310,11,1167,3,34,2011,Ward 1
21,9,MEADOWLARK PARK,4310,11,1167,3,34,2011,Ward 1
21,10,MEADOWLARK PARK,4310,11,1167,4,34,2011,Ward 1
21,11,MEADOWLARK PARK,4310,11,1167,4,34,2011,Ward 1
21,12,MEADOWLARK PARK,4310,11,1167,4,34,2011,Ward 1
22,1,MORIN INDUSTRIAL,4340,0,0,1,0,2011,Ward 1
22,2,MORIN INDUSTRIAL,4340,0,0,1,0,2011,Ward 1
22,3,MORIN INDUSTRIAL,4340,0,0,1,0,2011,Ward 1
22,4,MORIN INDUSTRIAL,4340,0,0,2,0,2011,Ward 1
22,5,MORIN INDUSTRIAL,4340,0,0,2,0,2011,Ward 1
22,6,MORIN INDUSTRIAL,4340,0,0,2,0,2011,Ward 1
22,7,MORIN INDUSTRIAL,4340,0,0,3,0,2011,Ward 1
22,8,MORIN INDUSTRIAL,4340,0,0,3,0,2011,Ward 1
22,9,MORIN INDUSTRIAL,4340,0,0,3,0,2011,Ward 1
22,10,MORIN INDUSTRIAL,4340,0,0,4,0,2011,Ward 1
22,11,MORIN INDUSTRIAL,4340,0,0,4,0,2011,Ward 1
22,12,MORIN INDUSTRIAL,4340,0,0,4,0,2011,Ward 1
23,1,NORWESTER INDUSTRIAL,4350,0,0,1,0,2011,Ward 1
23,2,NORWESTER INDUSTRIAL,4350,0,0,1,0,2011,Ward 1
23,3,NORWESTER INDUSTRIAL,4350,0,0,1,0,2011,Ward 1
23,4,NORWESTER INDUSTRIAL,4350,0,0,2,0,2011,Ward 1
23,5,NORWESTER INDUSTRIAL,4350,0,0,2,0,2011,Ward 1
23,6,NORWESTER INDUSTRIAL,4350,0,0,2,0,2011,Ward 1
23,7,NORWESTER INDUSTRIAL,4350,0,0,3,0,2011,Ward 1
23,8,NORWESTER INDUSTRIAL,4350,0,0,3,0,2011,Ward 1
23,9,NORWESTER INDUSTRIAL,4350,0,0,3,0,2011,Ward 1
23,10,NORWESTER INDUSTRIAL,4350,0,0,4,0,2011,Ward 1
23,11,NORWESTER INDUSTRIAL,4350,0,0,4,0,2011,Ward 1
23,12,NORWESTER INDUSTRIAL,4350,0,0,4,0,2011,Ward 1
24,1,PARKVIEW,3330,10,1288,1,45,2011,Ward 1
24,2,PARKVIEW,3330,10,1288,1,45,2011,Ward 1
24,3,PARKVIEW,3330,10,1288,1,45,2011,Ward 1
24,4,PARKVIEW,3330,10,1288,2,45,2011,Ward 1
24,5,PARKVIEW,3330,10,1288,2,45,2011,Ward 1
24,6,PARKVIEW,3330,10,1288,2,45,2011,Ward 1
24,7,PARKVIEW,3330,10,1288,3,45,2011,Ward 1
24,8,PARKVIEW,3330,10,1288,3,45,2011,Ward 1
24,9,PARKVIEW,3330,10,1288,3,45,2011,Ward 1
24,10,PARKVIEW,3330,10,1288,4,45,2011,Ward 1
24,11,PARKVIEW,3330,10,1288,4,45,2011,Ward 1
24,12,PARKVIEW,3330,10,1288,4,45,2011,Ward 1
25,1,PLACE LARUE,4400,0,0,1,0,2011,Ward 1
25,2,PLACE LARUE,4400,0,0,1,0,2011,Ward 1
25,3,PLACE LARUE,4400,0,0,1,0,2011,Ward 1
25,4,PLACE LARUE,4400,0,0,2,0,2011,Ward 1
25,5,PLACE LARUE,4400,0,0,2,0,2011,Ward 1
25,6,PLACE LARUE,4400,0,0,2,0,2011,Ward 1
25,7,PLACE LARUE,4400,0,0,3,0,2011,Ward 1
25,8,PLACE LARUE,4400,0,0,3,0,2011,Ward 1
25,9,PLACE LARUE,4400,0,0,3,0,2011,Ward 1
25,10,PLACE LARUE,4400,0,0,4,0,2011,Ward 1
25,11,PLACE LARUE,4400,0,0,4,0,2011,Ward 1
25,12,PLACE LARUE,4400,0,0,4,0,2011,Ward 1
26,1,POTTER GREENS,4710,0,560,1,9,2011,Ward 1
26,2,POTTER GREENS,4710,0,560,1,9,2011,Ward 1
26,3,POTTER GREENS,4710,0,560,1,9,2011,Ward 1
26,4,POTTER GREENS,4710,0,560,2,9,2011,Ward 1
26,5,POTTER GREENS,4710,0,560,2,9,2011,Ward 1
26,6,POTTER GREENS,4710,0,560,2,9,2011,Ward 1
26,7,POTTER GREENS,4710,0,560,3,9,2011,Ward 1
26,8,POTTER GREENS,4710,0,560,3,9,2011,Ward 1
26,9,POTTER GREENS,4710,0,560,3,9,2011,Ward 1
26,10,POTTER GREENS,4710,0,560,4,9,2011,Ward 1
26,11,POTTER GREENS,4710,0,560,4,9,2011,Ward 1
26,12,POTTER GREENS,4710,0,560,4,9,2011,Ward 1
27,1,POUNDMAKER INDUSTRIAL,4410,0,0,1,0,2011,Ward 1
27,2,POUNDMAKER INDUSTRIAL,4410,0,0,1,0,2011,Ward 1
27,3,POUNDMAKER INDUSTRIAL,4410,0,0,1,0,2011,Ward 1
27,4,POUNDMAKER INDUSTRIAL,4410,0,0,2,0,2011,Ward 1
27,5,POUNDMAKER INDUSTRIAL,4410,0,0,2,0,2011,Ward 1
27,6,POUNDMAKER INDUSTRIAL,4410,0,0,2,0,2011,Ward 1
27,7,POUNDMAKER INDUSTRIAL,4410,0,0,3,0,2011,Ward 1
27,8,POUNDMAKER INDUSTRIAL,4410,0,0,3,0,2011,Ward 1
27,9,POUNDMAKER INDUSTRIAL,4410,0,0,3,0,2011,Ward 1
27,10,POUNDMAKER INDUSTRIAL,4410,0,0,4,0,2011,Ward 1
27,11,POUNDMAKER INDUSTRIAL,4410,0,0,4,0,2011,Ward 1
27,12,POUNDMAKER INDUSTRIAL,4410,0,0,4,0,2011,Ward 1
28,1,RIVER VALLEY CAPITOL HILL,3380,0,0,1,0,2011,Ward 1
28,2,RIVER VALLEY CAPITOL HILL,3380,0,0,1,0,2011,Ward 1
28,3,RIVER VALLEY CAPITOL HILL,3380,0,0,1,0,2011,Ward 1
28,4,RIVER VALLEY CAPITOL HILL,3380,0,0,2,0,2011,Ward 1
28,5,RIVER VALLEY CAPITOL HILL,3380,0,0,2,0,2011,Ward 1
28,6,RIVER VALLEY CAPITOL HILL,3380,0,0,2,0,2011,Ward 1
28,7,RIVER VALLEY CAPITOL HILL,3380,0,0,3,0,2011,Ward 1
28,8,RIVER VALLEY CAPITOL HILL,3380,0,0,3,0,2011,Ward 1
28,9,RIVER VALLEY CAPITOL HILL,3380,0,0,3,0,2011,Ward 1
28,10,RIVER VALLEY CAPITOL HILL,3380,0,0,4,0,2011,Ward 1
28,11,RIVER VALLEY CAPITOL HILL,3380,0,0,4,0,2011,Ward 1
28,12,RIVER VALLEY CAPITOL HILL,3380,0,0,4,0,2011,Ward 1
29,1,RURAL WEST BIG LAKE,4470,2,71,1,6,2011,Ward 1
29,2,RURAL WEST BIG LAKE,4470,2,71,1,6,2011,Ward 1
29,3,RURAL WEST BIG LAKE,4470,2,71,1,6,2011,Ward 1
29,4,RURAL WEST BIG LAKE,4470,2,71,2,6,2011,Ward 1
29,5,RURAL WEST BIG LAKE,4470,2,71,2,6,2011,Ward 1
29,6,RURAL WEST BIG LAKE,4470,2,71,2,6,2011,Ward 1
29,7,RURAL WEST BIG LAKE,4470,2,71,3,6,2011,Ward 1
29,8,RURAL WEST BIG LAKE,4470,2,71,3,6,2011,Ward 1
29,9,RURAL WEST BIG LAKE,4470,2,71,3,6,2011,Ward 1
29,10,RURAL WEST BIG LAKE,4470,2,71,4,6,2011,Ward 1
29,11,RURAL WEST BIG LAKE,4470,2,71,4,6,2011,Ward 1
29,12,RURAL WEST BIG LAKE,4470,2,71,4,6,2011,Ward 1
30,1,RURAL WEST LEWIS FARMS,4480,0,0,1,0,2011,Ward 1
30,2,RURAL WEST LEWIS FARMS,4480,0,0,1,0,2011,Ward 1
30,3,RURAL WEST LEWIS FARMS,4480,0,0,1,0,2011,Ward 1
30,4,RURAL WEST LEWIS FARMS,4480,0,0,2,0,2011,Ward 1
30,5,RURAL WEST LEWIS FARMS,4480,0,0,2,0,2011,Ward 1
30,6,RURAL WEST LEWIS FARMS,4480,0,0,2,0,2011,Ward 1
30,7,RURAL WEST LEWIS FARMS,4480,0,0,3,0,2011,Ward 1
30,8,RURAL WEST LEWIS FARMS,4480,0,0,3,0,2011,Ward 1
30,9,RURAL WEST LEWIS FARMS,4480,0,0,3,0,2011,Ward 1
30,10,RURAL WEST LEWIS FARMS,4480,0,0,4,0,2011,Ward 1
30,11,RURAL WEST LEWIS FARMS,4480,0,0,4,0,2011,Ward 1
